chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
argentina|1 peso|1975|km# 69,5227,1 Peso,https://pt.numista.com/5227,km,1974–1976,0,2026-08-15T00:51:19.590Z
africa do sul|2 rand|2010|km# 498,21984,2 Rand (Suid-Afrika - Afrika Borwa),https://pt.numista.com/21984,km,2010–2022,0,2026-08-15T00:51:19.736Z
russia|1 rublo|1998|,46307,1 Rouble (Castle of Mir),https://pt.numista.com/46307,pais-ano,1998,0,2026-08-15T00:51:19.916Z
paraguai|1000 guaranis|2008|km# 198,9762,1000 Guaraníes,https://pt.numista.com/9762,km,2006–2022,0,2026-08-15T00:51:20.164Z
uruguai|1 peso|1994|km# 103.1,,,,nenhuma,,0,2026-08-15T00:51:20.418Z
uruguai|2 pesos|2007|km# 104.2,,,,nenhuma,,0,2026-08-15T00:51:20.631Z
antilhas neerlandesas|1 florim|1984|km# 24,,,,nenhuma,,0,2026-08-15T00:51:20.734Z
brasil|1000 cruzeiros|1993|km# 626,5392,1000 Cruzeiros,https://pt.numista.com/5392,km,1992–1993,0,2026-08-15T00:51:21.798Z
guiana|10 dolares|2013|km# 52,7708,10 Dollars,https://pt.numista.com/7708,km,1996–2018,0,2026-08-15T00:51:21.940Z
|200 francos|2010|km# 14,,,,nenhuma,,0,2026-08-15T00:51:22.106Z
panama|1 balboa|2011|km# 141,23694,1 Balboa,https://pt.numista.com/23694,km,2011–2019,0,2026-08-15T00:51:22.242Z
colombia|1000 pesos|2014|km# 299,34775,1000 Pesos,https://pt.numista.com/34775,km,2012–2025,0,2026-08-15T00:51:22.417Z
reino unido|10 pence|2013|,65157,"2 Pence - Elizabeth II (4th portrait; Royal Shield, Silver Proof)",https://pt.numista.com/65157,pais-ano,2008–2015,0,2026-08-15T00:51:22.609Z
brasil|100 cruzeiros reais|1993|km# 630,9370,100 Cruzeiros Reais,https://pt.numista.com/9370,km,1993–1994,0,2026-08-15T00:51:22.746Z
egito|20 piastres|1992|km# 733,1828,20 Qirsh,https://pt.numista.com/1828,km,1992,0,2026-08-15T00:51:22.887Z
uruguai|5 pesos|2008|km# 120.2,,,,nenhuma,,0,2026-08-15T00:51:23.967Z
"paises baixos, reino dos|1 euro|2000|km# 240",,,,nenhuma,,0,2026-08-15T00:51:24.080Z
brasil|20 cruzeiros|1985|,5385,20 Cruzeiros,https://pt.numista.com/5385,pais-ano,1981–1986,0,2026-08-15T00:51:24.150Z
argentina|10 pesos|1976|km# 72,5229,10 Pesos,https://pt.numista.com/5229,km,1976–1978,0,2026-08-15T00:51:24.334Z
cuba|3 pesos|1992|km# 346a,4469,3 Pesos (Che Guevara),https://pt.numista.com/4469,km,1992–2002,0,2026-08-15T00:51:24.536Z
mexico|2 pesos novos|1994|km# 551,586,2 Nuevos Pesos,https://pt.numista.com/586,km,1992–1995,0,2026-08-15T00:51:24.665Z
islandia|1 coroa|2011|,1549,1 Króna (Magnetic),https://pt.numista.com/1549,pais-ano,1989–2017,0,2026-08-15T00:51:24.768Z
franca|20 centimos|1996|km# 930,4,20 Centimes,https://pt.numista.com/4,km,1962–2001,0,2026-08-15T00:51:24.943Z
bosnia e herzegovina|1 marka|2002|km# 118,3073,1 Konvertibilna Marka,https://pt.numista.com/3073,km,2000–2025,0,2026-08-15T00:51:26.445Z
bulgaria|1 lev|2002|km# 254,5109,1 Lev,https://pt.numista.com/5109,km,2002,0,2026-08-15T00:51:26.583Z
polonia|5 zlotych|1994|,93909,5 Zlotys (Trial Strike),https://pt.numista.com/93909,pais-ano,1994,0,2026-08-15T00:51:26.717Z
macedonia do norte|1 denar|2008|km# 2,3108,1 Denar,https://pt.numista.com/3108,km,1993–2014,0,2026-08-15T00:51:26.793Z
macedonia do norte|2 dinar|2006|km# 3,4028,2 Denari,https://pt.numista.com/4028,km,1993–2014,0,2026-08-15T00:51:26.982Z
singapura|1 dolar|2013|km# 314,42898,1 Dollar,https://pt.numista.com/42898,km,2013–2019,0,2026-08-15T00:51:27.119Z
chile|100 pesos|2011|km# 236,2845,100 Pesos,https://pt.numista.com/2845,km,2001–2023,0,2026-08-15T00:51:27.263Z
tailandia|10 baht|2008|,22037,10 Satang - Rama IX (4th portrait),https://pt.numista.com/22037,pais-ano,2008–2017,0,2026-08-15T00:51:27.471Z
eua|5 centimos|2015|km# 381,50,"5 Cents ""Jefferson Nickel"" (2nd portrait, Return to Monticello)",https://pt.numista.com/50,km,2006–2025,0,2026-08-15T00:51:28.419Z
colombia|100 pesos|2010|km# 285,2433,100 Pesos,https://pt.numista.com/2433,km,1992–2012,0,2026-08-15T00:51:28.622Z
